November 8 2018,SE Oklahoma St.,Away,Little Rock,92
November 8 2018,Little Rock,Home,SE Oklahoma St.,101
November 8 2018,SW Assembl. of God,Away,Stephen F. Austin,67
November 8 2018,Stephen F. Austin,Home,SW Assembl. of God,68
November 8 2018,Southwestern,Away,Sam Houston State,56
November 8 2018,Sam Houston State,Home,Southwestern,94
November 8 2018,St. Andrews,Away,UNC Asheville,47
November 8 2018,UNC Asheville,Home,St. Andrews,87
November 8 2018,SUNY-Canton,Away,Cornell,44
November 8 2018,Cornell,Home,SUNY-Canton,86
November 9 2018,Southern Illinois,Away,Kentucky,59
November 9 2018,Kentucky,Home,Southern Illinois,71
November 9 2018,Louisiana,Away,Tennessee,65
November 9 2018,Tennessee,Home,Louisiana,87
November 9 2018,Pacific,Away,Nevada,61
November 9 2018,Nevada,Home,Pacific,83
November 9 2018,UNC,Away,Elon,116
November 9 2018,Elon,Home,UNC,67
November 9 2018,Washington,Away,Auburn,66
November 9 2018,Auburn,Home,Washington,88
November 9 2018,Kennesaw State,Away,Kansas State,41
November 9 2018,Kansas State,Home,Kennesaw State,56
November 9 2018,Buffalo,Away,West Virginia,99
November 9 2018,West Virginia,Home,Buffalo,94
November 9 2018,Eastern Washington,Away,Oregon,47
November 9 2018,Oregon,Home,Eastern Washington,81
November 9 2018,Gardner-Webb,Away,Virginia Tech,59
November 9 2018,Virginia Tech,Home,Gardner-Webb,87
November 9 2018,Austin Peay,Away,Mississippi State,67
November 9 2018,Mississippi State,Home,Austin Peay,95
November 9 2018,Long Beach State,Away,UCLA,80
November 9 2018,UCLA,Home,Long Beach State,91
November 9 2018,North Carolina Central,Away,Clemson,51
November 9 2018,Clemson,Home,North Carolina Central,71
November 9 2018,UNC Greensboro,Away,LSU,91
November 9 2018,LSU,Home,UNC Greensboro,97
November 9 2018,Air Force,Away,Texas State,57
November 9 2018,Texas State,Home,Air Force,67
November 9 2018,Albany (NY),Away,Iona,68
November 9 2018,Iona,Home,Albany (NY),72
November 9 2018,American,Away,George Mason,78
November 9 2018,George Mason,Home,American,75
November 9 2018,Antelope Valley,Away,Cal State Bakersfield,75
November 9 2018,Cal State Bakersfield,Home,Antelope Valley,111
November 9 2018,Arkansas,Away,Texas,71
November 9 2018,Texas,Home,Arkansas,73
November 9 2018,Arkansas State,Away,Abilene Christian,73
November 9 2018,Abilene Christian,Home,Arkansas State,94
November 9 2018,Bethesda University (CA),Away,Weber State,53
November 9 2018,Weber State,Home,Bethesda University (CA),123
November 9 2018,Blue Mountain College,Away,Alcorn State,55
November 9 2018,Alcorn State,Home,Blue Mountain College,79
November 9 2018,Bowling Green State,Away,St. John's (NY),80
November 9 2018,St. John's (NY),Home,Bowling Green State,84
November 9 2018,Brown,Away,LIU-Brooklyn,81
November 9 2018,LIU-Brooklyn,Home,Brown,83
November 9 2018,Buena Vista,Away,Omaha,58
November 9 2018,Omaha,Home,Buena Vista,94
November 9 2018,UC Irvine,Away,Texas A&M,74
November 9 2018,Texas A&M,Home,UC Irvine,73
November 9 2018,Charleston Southern,Away,Florida,46
November 9 2018,Florida,Home,Charleston Southern,76
November 9 2018,Chicago State,Away,Central Michigan,60
November 9 2018,Central Michigan,Home,Chicago State,101
November 9 2018,Coastal Carolina,Away,Campbell,85
November 9 2018,Campbell,Home,Coastal Carolina,75
November 9 2018,Colorado College,Away,Northern Colorado,56
November 9 2018,Northern Colorado,Home,Colorado College,126
November 9 2018,Dartmouth,Away,Davidson,76
November 9 2018,Davidson,Home,Dartmouth,79
November 9 2018,DeSales,Away,Princeton,51
November 9 2018,Princeton,Home,DeSales,85
November 9 2018,Detroit,Away,Temple,67
November 9 2018,Temple,Home,Detroit,83
November 9 2018,Drexel,Away,Eastern Michigan,62
November 9 2018,Eastern Michigan,Home,Drexel,66
November 9 2018,Fairleigh Dickinson,Away,Rutgers,55
November 9 2018,Rutgers,Home,Fairleigh Dickinson,90
November 9 2018,Furman,Away,Loyola (IL),60
November 9 2018,Loyola (IL),Home,Furman,58
November 9 2018,Georgia State,Away,Montana,74
November 9 2018,Montana,Home,Georgia State,81
November 9 2018,Hampton,Away,VCU,57
November 9 2018,VCU,Home,Hampton,69
November 9 2018,Hartford,Away,Utah State,73
November 9 2018,Utah State,Home,Hartford,100
November 9 2018,Humboldt State,Away,North Texas,48
November 9 2018,North Texas,Home,Humboldt State,93
November 9 2018,UIC,Away,Radford,78
November 9 2018,Radford,Home,UIC,88
November 9 2018,Indiana State,Away,Green Bay,78
November 9 2018,Green Bay,Home,Indiana State,74
November 9 2018,Jacksonville State,Away,Samford,72
November 9 2018,Samford,Home,Jacksonville State,92
November 9 2018,James Madison,Away,East Carolina,73
November 9 2018,East Carolina,Home,James Madison,72
November 9 2018,Jarvis Christian,Away,Grambling,68
November 9 2018,Grambling,Home,Jarvis Christian,105
November 9 2018,Johnson & Wales (FL),Away,Florida International,47
November 9 2018,Florida International,Home,Johnson & Wales (FL),117
